Reference area,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Latvia,84.4707390426,83.6493473056,83.9150457464,82.7574247828,81.6038251422,81.1512509874,80.6231798758,80.8437535277,80.8490179167,81.6931797785,82.1536313198,82.8762066376,83.1846247278,83.5793022666,83.4052404724,83.0734741233,81.8507796229,83.7630761405,
Lithuania,,,,,,,,,,,,,,,82.3366329036,82.20292013,80.9704684312,81.984237716,
Luxembourg,77.6234018238,77.6703362984,77.4535807746,77.8824813414,77.7706417076,77.8502548823,77.9839448529,78.5799924631,78.331443932,78.4550634998,78.377825186,78.8208993751,79.204405079,80.0192587735,81.2263540008,80.8291213148,81.1334502705,81.0330379677,
Mexico,75.936382508,76.0352285143,75.6704610034,77.4873154975,77.4590655722,78.825200326,79.3944522334,79.8599608772,80.0243594169,81.2945246092,80.6644906764,80.0779341343,80.0048154743,80.6134584896,80.1375770795,79.4744364908,79.0885395531,81.2448780607,
Netherlands,80.8839320642,81.1498143068,80.9248610893,81.1246956555,80.9606667505,81.0343248799,80.507816149,79.9633196824,80.0973664874,79.8773704611,80.0060398333,80.0201924024,80.1023727255,80.3155422274,79.9454018752,80.2460780173,80.5172049788,81.3150518427,81.7623180515
New Zealand,73.7253915345,74.3339544401,73.8561326414,74.3579311795,74.4319207067,74.7470848588,74.192887825,73.8105921651,73.0192875052,73.1403369436,73.3698715168,73.3328613619,73.4997921889,73.7872919555,74.2401402351,73.8256210156,73.7610975366,,
Norway,80.6691166,81.3645844505,81.4442347088,82.0375659785,81.2633894624,82.0417238612,82.3613352748,82.2860367548,82.5182333874,82.6179704166,82.2270505002,82.333695359,82.1044780019,82.2255726367,82.3338800288,81.7859469328,81.661969318,,
Poland,78.4184737805,78.4705065482,78.3816120575,77.2790632051,78.4310431144,78.1617761054,77.9731356363,78.4721783522,78.7374876032,78.3285596432,79.2305564815,79.3127522832,79.8602124374,80.0150369903,80.5573117889,79.2900396438,78.682078498,78.9683100628,
Portugal,83.6303074122,83.2340851713,82.9592267653,82.8922410895,82.204184014,81.5852243299,80.7092895267,80.3079943475,79.4813932609,79.8251596713,80.1006384481,80.3115045227,80.5291165607,80.7683139507,80.1442472073,80.9963815719,81.2445985561,81.9609828711,82.4066813813
Romania,,71.3334943802,73.6318362144,70.8396495511,73.9514705158,72.7755050377,74.0339239549,77.1701944172,75.992408435,74.9958186098,76.3054920237,75.6189249309,75.834880222,77.4460009976,77.8179793996,76.8740143143,75.3270739586,,
Slovak Republic,68.5257336785,69.1372924296,68.9401239992,69.8134749544,70.4178204464,69.8071090092,70.2286465428,70.6256247352,70.2945068639,71.7374219479,71.6212415408,72.3356950919,73.5588684588,73.5387106083,73.0262750555,72.9879639639,71.5914810008,72.8820507299,73.0559509443
Slovenia,81.4399428967,81.3061230527,81.4853941566,80.7562632176,79.7926066204,79.940964494,79.7382451519,80.1544129372,80.39994007,80.8201633433,80.9045041,81.3721454713,81.7763699451,81.877092392,82.6595978418,82.6835245632,82.2837944037,83.2008475339,
Spain,80.5672602057,79.9223481827,79.8223140546,79.2846136807,78.4302358721,77.9543005453,76.6325735824,76.5145005094,76.5885329703,77.4075256084,77.6408435904,77.6698621755,77.8231713934,78.5466472476,79.0888885992,78.7785042521,78.6297342333,80.1848418285,
Sweden,78.2243881704,78.5949787868,78.9281005656,78.8159034966,78.7046984136,79.2292327862,79.9523091991,80.0686061168,80.1337537448,80.1495086697,80.3930357671,80.362757743,80.1760558439,80.2115925562,79.7042212412,79.5403392335,80.1453286265,81.0570033636,
Switzerland,78.9349412157,79.3316550916,78.9071004066,79.1291999652,78.8504830485,78.8010526628,78.8401802763,79.0305431914,79.1118992872,78.9285266498,78.8141296282,78.6300484442,78.5607439,78.5773319116,79.0480361328,78.5535769252,78.8792894261,,
Türkiye,,,,78.0628067719,78.2755549261,78.7439040812,78.8588462343,79.4829476777,80.0601797573,80.4519762537,80.9939972771,81.1870440198,81.188708847,81.4717805673,81.1582203926,81.7125887584,81.120367995,,
United Kingdom,75.0947493606,75.402599198,75.4264529577,76.0075758358,75.7480305152,75.6616942321,75.3493216864,75.2620038981,75.4217718922,75.6788184294,75.1144896219,75.2954493887,75.4266285529,75.9595817066,76.1343293005,76.1627201037,75.7602363174,76.4711790179,
United States,80.6223023392,80.64623704,80.6979705003,80.843858481,81.0690661999,81.4837817495,81.9440436969,81.393893126,81.6716171048,81.9273111068,81.9041603686,82.0939247748,82.2233578135,82.3341318497,82.7584405055,82.82143083,81.5091379943,81.7531067448,
